"Subject","Step Number","Phase","Description","Status"
"Social Studies","1","Curriculum & UbD Training","Engaging in foundational training on the new curriculum expectations and the Understanding by Design framework.","0"
"Social Studies","2","Framework Alignment & Tool Vetting","Introducing planning tools and establishing evaluation criteria based on the training.","0"
"Social Studies","3","Macro-Level Unit Planning","Determining pacing, sequence, and overarching unit structure.","0"
"Social Studies","4","Initial Unit Drafting","Collaboratively developing transfer goals and an assessment plan for the first unit(s).","0"
"Social Studies","5","Resource Gathering & Exploration","Compiling, creating, and curating supporting resources.","0"
"Social Studies","6","Consolidation & Streamlining","Reviewing multiple unit versions, making choices to trim down, and finalizing assessment plans.","0"
"Social Studies","7","Micro-Level Lesson Build-Out","Folding developed units and gathered resources into specific, day-to-day lesson plans.","0"
"Social Studies","8","Scaling & Progression","Prioritizing and developing supporting resources.","0"
"Social Studies","9","Resource Hub Consolidation","Finalizing the curated list of resources and uploading them to the resource hub for teacher access, including the unit plans and supporting documents.","0"
"Social Studies","10","Launch Preparation","Generating a list of logistical and material needs for a smooth rollout.","0"
"Social Studies","Goal","Final September Goal","First unit for grade 7 completed.",""
"Math","1","Curriculum & UbD Training","Engaging in foundational training on the new curriculum expectations and the Understanding by Design framework.","0"
"Math","2","Framework Alignment & Tool Vetting","Introducing planning tools and establishing evaluation criteria based on the training.","0"
"Math","3","Macro-Level Unit Planning","Determining pacing (days/order), required manipulatives, and overall unit structure.","0"
"Math","4","Initial Unit Drafting","Collaboratively developing transfer goals and an assessment plan for the first unit(s).","0"
"Math","5","Resource Gathering & Exploration","Compiling, creating, and curating supporting resources.","0"
"Math","6","Consolidation & Streamlining","Reviewing multiple unit versions, making choices to trim down, and finalizing assessment plans.","0"
"Math","7","Micro-Level Lesson Build-Out","Folding developed units and gathered resources into specific, day-to-day lesson plans.","0"
"Math","8","Scaling & Progression","Prioritizing and developing supporting resources.","0"
"Math","9","Resource Hub Consolidation","Finalizing the curated list of resources and uploading them to the resource hub for teacher access, including the unit plans and supporting documents.","0"
"Math","10","Launch Preparation","Generating a list of logistical and material needs for a smooth rollout.","0"
"Math","Goal","Final September Goal","First three units for grade 7 completed.",""
"Physical Education and Wellness (PEW)","1","Curriculum & UbD Training","Engaging in foundational training on the new curriculum expectations and the Understanding by Design framework.","0"
"Physical Education and Wellness (PEW)","2","Framework Alignment & Tool Vetting","Reintroducing planning tools, taking the team through the vetting process, and working in coached groupings.","0"
"Physical Education and Wellness (PEW)","3","Macro-Level Unit Planning","Determining the sequence and structure for both the physical education and wellness components.","0"
"Physical Education and Wellness (PEW)","4","Initial Unit Drafting","Collaboratively developing transfer goals and an assessment plan for the first unit(s).","0"
"Physical Education and Wellness (PEW)","5","Resource Gathering & Exploration","Compiling, creating, and curating supporting resources.","0"
"Physical Education and Wellness (PEW)","6","Consolidation & Streamlining","Reviewing multiple unit versions, making choices to trim down, and finalizing assessment plans.","0"
"Physical Education and Wellness (PEW)","7","Micro-Level Lesson Build-Out","Folding developed units and gathered resources into specific, day-to-day lesson plans.","0"
"Physical Education and Wellness (PEW)","8","Scaling & Progression","Prioritizing and developing supporting resources.","0"
"Physical Education and Wellness (PEW)","9","Resource Hub Consolidation","Finalizing the curated list of resources and uploading them to the resource hub for teacher access, including the unit plans and supporting documents.","0"
"Physical Education and Wellness (PEW)","10","Launch Preparation","Generating a list of logistical and material needs for a smooth rollout.","0"
"Physical Education and Wellness (PEW)","Goal","Final September Goal","First unit for both Phys.Ed and Wellness components in grades 7, 8, and 9 completed.",""
"Career Education and Financial Literacy (CEFL)","1","Curriculum & UbD Training","Engaging in foundational training on the new curriculum expectations and the Understanding by Design framework.","0"
"Career Education and Financial Literacy (CEFL)","2","Framework Alignment & Tool Vetting","Introducing planning tools and establishing evaluation criteria based on the training.","0"
"Career Education and Financial Literacy (CEFL)","3","Macro-Level Unit Planning","Determining pacing, sequence, and overarching unit structure.","0"
"Career Education and Financial Literacy (CEFL)","4","Initial Unit Drafting","Collaboratively developing transfer goals and an assessment plan for the first unit(s).","0"
"Career Education and Financial Literacy (CEFL)","5","Resource Gathering & Exploration","Compiling, creating, and curating supporting resources.","0"
"Career Education and Financial Literacy (CEFL)","6","Consolidation & Streamlining","Reviewing multiple unit versions, making choices to trim down, and finalizing assessment plans.","0"
"Career Education and Financial Literacy (CEFL)","7","Micro-Level Lesson Build-Out","Folding developed units and gathered resources into specific, day-to-day lesson plans.","0"
"Career Education and Financial Literacy (CEFL)","8","Scaling & Progression","Prioritizing and developing supporting resources.","0"
"Career Education and Financial Literacy (CEFL)","9","Resource Hub Consolidation","Finalizing the curated list of resources and uploading them to the resource hub for teacher access, including the unit plans and supporting documents.","0"
"Career Education and Financial Literacy (CEFL)","10","Launch Preparation","Generating a list of logistical and material needs for a smooth rollout.","0"
"Career Education and Financial Literacy (CEFL)","Goal","Final September Goal","First unit for grades 7, 8, and 9 completed.",""
